127.0.0.1 - - [16/May/2016:09:18:12 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:13 -0400] "GET /ParkPalSpringMVC/ HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:13 -0400] "GET /ParkPalSpringMVC/resources/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:13 -0400] "GET /ParkPalSpringMVC/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:13 -0400] "GET /ParkPalSpringMVC/resources/css/bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:13 -0400] "GET /ParkPalSpringMVC/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:13 -0400] "GET /ParkPalSpringMVC/resources/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:13 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:17 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:26 -0400] "GET /ParkPalSpringMVC/userLogged HTTP/1.1" 500 4436
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:26 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:31 -0400] "GET /ParkPalSpringMVC/ HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:31 -0400] "GET /ParkPalSpringMVC/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:31 -0400] "GET /ParkPalSpringMVC/resources/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:31 -0400] "GET /ParkPalSpringMVC/resources/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:31 -0400] "GET /ParkPalSpringMVC/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:31 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:31 -0400] "GET /ParkPalSpringMVC/resources/css/bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:18:37 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [16/May/2016:09:19:03 -0400] "GET /ParkPalSpringMVC/LoginServlet?email=craig.rodewald%40gmail.com&password=123456 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:19:03 -0400] "GET /ParkPalSpringMVC/userLogged HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:03 -0400] "GET /ParkPalSpringMVC/ HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:03 -0400] "GET /ParkPalSpringMVC/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:03 -0400] "GET /ParkPalSpringMVC/resources/css/bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:03 -0400] "GET /ParkPalSpringMVC/resources/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:03 -0400] "GET /ParkPalSpringMVC/resources/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:03 -0400] "GET /ParkPalSpringMVC/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:03 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 200 6119
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:23 -0400] "GET /ParkPalSpringMVC/loginPage HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:23 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:29 -0400] "GET /ParkPalSpringMVC/LoginServlet?email=craig.rodewald%40gmail.com&password=123456 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:29 -0400] "GET /ParkPalSpringMVC/userLogged HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [16/May/2016:09:28:30 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:34:03 -0400] "GET /ParkPalSpringMVC/ HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [16/May/2016:09:34:03 -0400] "GET /ParkPalSpringMVC/resources/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:34:03 -0400] "GET /ParkPalSpringMVC/resources/css/bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:34:03 -0400] "GET /ParkPalSpringMVC/resources/css/style.css HTTP/1.1" 200 6119
0:0:0:0:0:0:0:1 - - [16/May/2016:09:34:03 -0400] "GET /ParkPalSpringMVC/resources/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:34:03 -0400] "GET /ParkPalSpringMVC/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2016:09:34:03 -0400] "GET /ParkPalSpringMVC/resources/css/font-awesome.min.css HTTP/1.1" 304 -
